city,date,temp_c,humidity,wind_kmph,precip_mm
Lagos,2022-06-03T18:00,26.7,83,14.1,0.0
Lagos,2022-06-03T19:00,26.3,87,11.8,0.0
Lagos,2022-06-03T20:00,25.7,92,3.4,0.0
Lagos,2022-06-03T21:00,25.9,91,3.2,0.0
Lagos,2022-06-03T22:00,25.7,91,6.0,0.0
Lagos,2022-06-03T23:00,25.3,92,4.8,0.0
Lagos,2022-06-04T00:00,25.4,90,4.4,0.2
Lagos,2022-06-04T01:00,26.1,88,4.7,0.5
Lagos,2022-06-04T02:00,25.4,91,5.2,0.0
Lagos,2022-06-04T03:00,24.8,93,4.8,0.0
Lagos,2022-06-04T04:00,24.6,94,4.7,0.0
Lagos,2022-06-04T05:00,24.8,93,3.8,0.0
Lagos,2022-06-04T06:00,24.7,92,5.4,0.0
Lagos,2022-06-04T07:00,24.6,93,5.7,0.0
Lagos,2022-06-04T08:00,25.5,89,5.3,0.7
Lagos,2022-06-04T09:00,27.0,81,11.2,0.0
Lagos,2022-06-04T10:00,27.7,78,14.8,0.2
Lagos,2022-06-04T11:00,28.1,77,14.0,0.1
Lagos,2022-06-04T12:00,29.1,74,16.9,0.2
Lagos,2022-06-04T13:00,29.2,70,14.6,0.2
Lagos,2022-06-04T14:00,29.3,68,13.5,0.1
Lagos,2022-06-04T15:00,29.2,69,14.8,0.1
Lagos,2022-06-04T16:00,29.2,69,16.8,0.2
Lagos,2022-06-04T17:00,28.3,76,17.7,0.5
Lagos,2022-06-04T18:00,27.3,77,14.6,1.9
Lagos,2022-06-04T19:00,24.9,89,9.9,8.2
Lagos,2022-06-04T20:00,24.4,88,6.1,11.7
Lagos,2022-06-04T21:00,24.8,88,2.2,0.2
Lagos,2022-06-04T22:00,24.8,92,1.6,0.3
Lagos,2022-06-04T23:00,24.7,93,3.6,0.3
Lagos,2022-06-05T00:00,24.7,94,2.6,0.1
Lagos,2022-06-05T01:00,25.2,93,6.6,0.1
Lagos,2022-06-05T02:00,24.9,92,7.0,0.1
Lagos,2022-06-05T03:00,24.7,92,4.1,0.0
Lagos,2022-06-05T04:00,24.4,95,4.0,0.0
Lagos,2022-06-05T05:00,25.1,92,9.7,0.1
Lagos,2022-06-05T06:00,24.9,93,13.8,1.2
Lagos,2022-06-05T07:00,23.7,95,17.7,5.0
Lagos,2022-06-05T08:00,23.8,93,14.5,1.3
Lagos,2022-06-05T09:00,24.2,92,7.7,2.6
Lagos,2022-06-05T10:00,24.3,92,6.1,1.1
Lagos,2022-06-05T11:00,25.3,89,10.4,0.2
Lagos,2022-06-05T12:00,26.2,87,13.5,0.0
Lagos,2022-06-05T13:00,27.6,75,10.0,0.0
Lagos,2022-06-05T14:00,28.1,73,11.6,0.0
Lagos,2022-06-05T15:00,28.2,73,18.4,0.0
Lagos,2022-06-05T16:00,27.7,77,19.9,0.1
Lagos,2022-06-05T17:00,27.2,80,22.4,0.2
Lagos,2022-06-05T18:00,26.9,80,19.6,0.7
Lagos,2022-06-05T19:00,25.6,88,16.2,0.3
Lagos,2022-06-05T20:00,24.2,91,18.4,2.9
Lagos,2022-06-05T21:00,24.3,93,7.7,1.1
Lagos,2022-06-05T22:00,25.0,91,6.9,0.2
Lagos,2022-06-05T23:00,25.4,89,7.3,0.1
Lagos,2022-06-06T00:00,25.4,90,6.8,0.1
Lagos,2022-06-06T01:00,23.6,96,4.3,0.6
Lagos,2022-06-06T02:00,23.4,96,3.6,0.0
Lagos,2022-06-06T03:00,23.3,97,3.3,0.0
Lagos,2022-06-06T04:00,23.4,97,4.1,0.0
Lagos,2022-06-06T05:00,23.5,96,5.4,0.0
Lagos,2022-06-06T06:00,23.4,97,2.9,0.5
Lagos,2022-06-06T07:00,24.0,96,4.7,0.1
Lagos,2022-06-06T08:00,24.8,92,5.1,0.0
Lagos,2022-06-06T09:00,25.8,89,3.3,0.1
Lagos,2022-06-06T10:00,26.6,87,2.4,0.2
Lagos,2022-06-06T11:00,27.4,81,4.6,0.1
Lagos,2022-06-06T12:00,27.6,80,9.5,0.1
Lagos,2022-06-06T13:00,28.5,78,8.4,6.0
Lagos,2022-06-06T14:00,28.7,77,9.3,0.0
Lagos,2022-06-06T15:00,28.1,80,10.7,0.1
Lagos,2022-06-06T16:00,28.2,80,9.0,0.0
Lagos,2022-06-06T17:00,27.4,78,12.4,0.1
Lagos,2022-06-06T18:00,26.9,79,11.2,0.1
Lagos,2022-06-06T19:00,26.1,84,11.3,0.0
Lagos,2022-06-06T20:00,25.8,87,8.9,0.0
Lagos,2022-06-06T21:00,25.5,90,7.9,0.0
Lagos,2022-06-06T22:00,25.2,91,6.9,0.0
Lagos,2022-06-06T23:00,25.2,91,5.1,0.0
Lagos,2022-06-07T00:00,24.9,92,4.2,0.0
Lagos,2022-06-07T01:00,24.2,92,6.6,0.0
Lagos,2022-06-07T02:00,24.1,93,5.4,0.0
Lagos,2022-06-07T03:00,23.9,93,6.1,0.0
Lagos,2022-06-07T04:00,23.8,93,7.0,0.0
Lagos,2022-06-07T05:00,23.6,93,6.7,0.0
Lagos,2022-06-07T06:00,23.5,93,6.8,0.0
Lagos,2022-06-07T07:00,23.7,92,8.1,0.0
Lagos,2022-06-07T08:00,25.0,90,6.6,0.0
Lagos,2022-06-07T09:00,26.9,84,4.9,0.0
Lagos,2022-06-07T10:00,28.1,79,5.5,0.0
Lagos,2022-06-07T11:00,29.1,73,6.6,0.1
Lagos,2022-06-07T12:00,29.6,72,7.8,0.1
Lagos,2022-06-07T13:00,30.2,67,3.3,0.1
Lagos,2022-06-07T14:00,30.5,67,0.8,0.1
Lagos,2022-06-07T15:00,28.9,75,10.9,3.2
Lagos,2022-06-07T16:00,28.6,78,10.2,0.0
Lagos,2022-06-07T17:00,28.6,78,13.4,0.0
Lagos,2022-06-07T18:00,28.0,79,12.9,0.0
Lagos,2022-06-07T19:00,27.2,84,11.5,0.0
Lagos,2022-06-07T20:00,26.8,86,9.9,0.0
Lagos,2022-06-07T21:00,26.6,86,8.7,0.0
Lagos,2022-06-07T22:00,26.5,87,8.2,0.0
Lagos,2022-06-07T23:00,26.4,87,8.7,0.0
Lagos,2022-06-08T00:00,26.3,88,7.2,0.0
Lagos,2022-06-08T01:00,25.5,90,6.0,0.0
Lagos,2022-06-08T02:00,25.4,90,7.0,0.0
Lagos,2022-06-08T03:00,25.1,91,7.1,0.0
Lagos,2022-06-08T04:00,24.9,91,7.1,0.0
Lagos,2022-06-08T05:00,24.7,92,7.3,0.0
Lagos,2022-06-08T06:00,24.6,92,7.0,0.0
Lagos,2022-06-08T07:00,24.7,92,7.7,0.0
Lagos,2022-06-08T08:00,25.6,90,7.1,0.0
Lagos,2022-06-08T09:00,26.5,87,3.2,0.1
Lagos,2022-06-08T10:00,26.7,86,6.6,0.6
Lagos,2022-06-08T11:00,27.4,82,9.4,0.3
Lagos,2022-06-08T12:00,28.3,77,10.7,0.3
Lagos,2022-06-08T13:00,29.6,71,13.7,0.2
Lagos,2022-06-08T14:00,29.5,75,14.8,0.8
Lagos,2022-06-08T15:00,28.4,78,13.8,2.3
Lagos,2022-06-08T16:00,28.2,79,14.5,0.0
Lagos,2022-06-08T17:00,27.9,80,15.6,0.0
Lagos,2022-06-08T18:00,27.4,82,16.8,0.0
Lagos,2022-06-08T19:00,26.9,83,13.0,0.0
Lagos,2022-06-08T20:00,26.8,84,13.8,0.0
Lagos,2022-06-08T21:00,26.7,85,13.8,0.0
Lagos,2022-06-08T22:00,26.5,85,14.5,0.0
Lagos,2022-06-08T23:00,26.5,85,11.6,0.0
Lagos,2022-06-09T00:00,26.3,86,11.2,0.0
Lagos,2022-06-09T01:00,26.5,86,9.7,0.0
Lagos,2022-06-09T02:00,26.5,85,8.9,0.0
Lagos,2022-06-09T03:00,26.5,85,11.2,0.0
Lagos,2022-06-09T04:00,26.3,85,12.0,0.0
Lagos,2022-06-09T05:00,26.2,86,11.7,0.0
Lagos,2022-06-09T06:00,25.8,88,12.3,0.0
Lagos,2022-06-09T07:00,26.1,87,12.5,0.0
Lagos,2022-06-09T08:00,26.9,83,14.1,0.0
Lagos,2022-06-09T09:00,27.4,81,13.4,0.1
Lagos,2022-06-09T10:00,27.8,80,14.2,0.3
Lagos,2022-06-09T11:00,28.5,80,15.3,0.4
Lagos,2022-06-09T12:00,29.1,77,15.9,0.0
Lagos,2022-06-09T13:00,29.5,74,15.2,0.1
Lagos,2022-06-09T14:00,29.5,73,16.9,0.1
Lagos,2022-06-09T15:00,29.2,72,19.6,0.1
Lagos,2022-06-09T16:00,28.6,74,19.6,0.2
Lagos,2022-06-09T17:00,28.4,75,19.7,0.3
Lagos,2022-06-09T18:00,27.3,79,16.4,0.4
Lagos,2022-06-09T19:00,26.4,83,13.9,0.3
Lagos,2022-06-09T20:00,25.8,87,13.2,0.1
Lagos,2022-06-09T21:00,25.7,87,10.8,0.0
Lagos,2022-06-09T22:00,25.7,88,9.4,0.0
Lagos,2022-06-09T23:00,25.7,88,8.7,0.0
Lagos,2022-06-10T00:00,25.7,89,7.6,0.0
Lagos,2022-06-10T01:00,25.4,89,9.4,1.8
Lagos,2022-06-10T02:00,24.6,91,9.8,1.6
Lagos,2022-06-10T03:00,24.6,91,5.2,0.1
Lagos,2022-06-10T04:00,24.6,93,3.3,0.0
Lagos,2022-06-10T05:00,24.6,94,4.9,0.0
Lagos,2022-06-10T06:00,24.4,94,6.5,0.0
Lagos,2022-06-10T07:00,24.5,93,4.4,0.0
Lagos,2022-06-10T08:00,25.6,89,5.8,0.0
Lagos,2022-06-10T09:00,26.6,83,7.4,0.0
Lagos,2022-06-10T10:00,27.5,78,12.8,0.2
Lagos,2022-06-10T11:00,28.2,75,14.0,0.3
Lagos,2022-06-10T12:00,28.7,75,16.0,0.2
Lagos,2022-06-10T13:00,28.5,76,15.3,0.1
Lagos,2022-06-10T14:00,28.2,77,16.1,0.0
Lagos,2022-06-10T15:00,28.3,76,16.9,0.2
Lagos,2022-06-10T16:00,27.6,80,16.9,0.2
Lagos,2022-06-10T17:00,27.4,80,17.9,0.1
Lagos,2022-06-10T18:00,27.1,81,17.4,0.0
Lagos,2022-06-10T19:00,26.6,84,12.5,0.0
Lagos,2022-06-10T20:00,26.0,87,11.5,0.0
Lagos,2022-06-10T21:00,26.0,88,9.7,0.0
Lagos,2022-06-10T22:00,25.8,88,8.4,0.0
Lagos,2022-06-10T23:00,25.3,87,6.6,1.2
Lagos,2022-06-11T00:00,24.8,92,4.3,0.1
Lagos,2022-06-11T01:00,24.3,93,5.0,3.4
Lagos,2022-06-11T02:00,24.7,92,1.9,0.7
Lagos,2022-06-11T03:00,23.7,96,3.7,0.0
Lagos,2022-06-11T04:00,23.1,98,9.5,0.6
Lagos,2022-06-11T05:00,23.2,95,5.4,0.2
Lagos,2022-06-11T06:00,22.8,96,3.2,0.0
Lagos,2022-06-11T07:00,23.2,94,3.6,0.0
Lagos,2022-06-11T08:00,24.1,90,2.8,0.0
Lagos,2022-06-11T09:00,25.0,89,4.6,0.0
Lagos,2022-06-11T10:00,25.8,86,2.0,0.4
Lagos,2022-06-11T11:00,25.7,88,9.0,0.3
Lagos,2022-06-11T12:00,26.4,84,14.4,0.3
Lagos,2022-06-11T13:00,25.3,87,11.4,0.1
Lagos,2022-06-11T14:00,25.7,84,14.0,0.6
Lagos,2022-06-11T15:00,25.9,83,14.8,0.5
Lagos,2022-06-11T16:00,25.9,85,12.3,0.3
Lagos,2022-06-11T17:00,26.0,81,13.8,0.5
Lagos,2022-06-11T18:00,25.7,86,9.0,0.3
Lagos,2022-06-11T19:00,25.2,88,4.3,0.2
Lagos,2022-06-11T20:00,24.7,91,4.7,0.1
Lagos,2022-06-11T21:00,24.4,93,4.6,0.1
Lagos,2022-06-11T22:00,24.1,94,3.6,0.0
Lagos,2022-06-11T23:00,23.8,95,4.2,0.0
Lagos,2022-06-12T00:00,23.7,95,5.1,0.0
Lagos,2022-06-12T01:00,24.3,92,6.6,0.0
Lagos,2022-06-12T02:00,24.3,93,6.1,0.2
Lagos,2022-06-12T03:00,23.9,96,3.7,0.1
Lagos,2022-06-12T04:00,23.9,96,4.2,0.3
Lagos,2022-06-12T05:00,23.7,97,4.7,0.0
Lagos,2022-06-12T06:00,23.6,97,5.1,0.0
Lagos,2022-06-12T07:00,23.8,97,3.8,0.0
Lagos,2022-06-12T08:00,24.8,93,4.4,0.0
Lagos,2022-06-12T09:00,26.2,85,6.5,0.0
Lagos,2022-06-12T10:00,27.4,79,5.6,0.0
Lagos,2022-06-12T11:00,28.5,73,4.3,0.1
Lagos,2022-06-12T12:00,29.2,72,4.7,0.2
Lagos,2022-06-12T13:00,29.3,68,8.2,0.1
Lagos,2022-06-12T14:00,29.2,69,11.0,0.2
Lagos,2022-06-12T15:00,29.1,69,11.8,0.2
Lagos,2022-06-12T16:00,28.6,71,11.6,0.1
Lagos,2022-06-12T17:00,28.4,71,12.6,0.0
Lagos,2022-06-12T18:00,27.6,77,11.9,0.0
Lagos,2022-06-12T19:00,26.8,82,7.5,0.0
Lagos,2022-06-12T20:00,26.4,84,7.7,0.0
Lagos,2022-06-12T21:00,26.2,86,8.2,0.0
Lagos,2022-06-12T22:00,25.9,87,8.1,0.0
Lagos,2022-06-12T23:00,25.8,87,7.9,0.0
Lagos,2022-06-13T00:00,25.6,88,6.5,0.0
Lagos,2022-06-13T01:00,25.2,88,8.1,0.0
Lagos,2022-06-13T02:00,25.0,89,8.7,0.0
Lagos,2022-06-13T03:00,24.7,89,8.4,0.0
Lagos,2022-06-13T04:00,24.5,90,4.8,0.0
Lagos,2022-06-13T05:00,24.4,90,5.9,0.0
Lagos,2022-06-13T06:00,24.1,91,6.6,0.0
Lagos,2022-06-13T07:00,24.2,91,8.4,0.0
Lagos,2022-06-13T08:00,25.1,89,9.2,0.0
Lagos,2022-06-13T09:00,26.7,83,7.3,0.0
Lagos,2022-06-13T10:00,27.8,77,9.8,0.1
Lagos,2022-06-13T11:00,28.5,76,9.4,0.1
Lagos,2022-06-13T12:00,28.9,76,9.8,0.3
Lagos,2022-06-13T13:00,29.7,72,14.7,0.2
Lagos,2022-06-13T14:00,29.7,69,17.3,0.1
Lagos,2022-06-13T15:00,28.7,73,16.3,0.6
Lagos,2022-06-13T16:00,28.5,74,16.1,0.1
Lagos,2022-06-13T17:00,28.6,74,17.8,0.0
Lagos,2022-06-13T18:00,27.9,76,17.1,0.0
Lagos,2022-06-13T19:00,27.1,79,12.0,0.1
Lagos,2022-06-13T20:00,26.6,83,9.6,0.3
Lagos,2022-06-13T21:00,26.3,86,7.3,0.0
Lagos,2022-06-13T22:00,26.5,83,9.9,0.0
Lagos,2022-06-13T23:00,25.2,86,3.2,1.6
Lagos,2022-06-14T00:00,24.9,90,2.7,0.4
Lagos,2022-06-14T01:00,26.1,87,6.5,2.6
Lagos,2022-06-14T02:00,23.5,95,13.9,12.1
Lagos,2022-06-14T03:00,23.5,95,5.1,2.3
Lagos,2022-06-14T04:00,23.7,94,3.1,0.3
Lagos,2022-06-14T05:00,23.4,96,5.2,0.0
Lagos,2022-06-14T06:00,23.4,96,4.1,0.0
Lagos,2022-06-14T07:00,23.4,96,4.6,0.0
Lagos,2022-06-14T08:00,24.5,93,4.8,0.0
Lagos,2022-06-14T09:00,26.4,85,11.0,0.0
Lagos,2022-06-14T10:00,27.9,78,15.9,0.3
Lagos,2022-06-14T11:00,28.4,76,18.4,0.4
Lagos,2022-06-14T12:00,28.7,77,16.8,0.3
Lagos,2022-06-14T13:00,26.7,85,12.3,0.2
Lagos,2022-06-14T14:00,27.5,82,12.9,0.2
Lagos,2022-06-14T15:00,27.0,81,13.8,0.5
Lagos,2022-06-14T16:00,27.7,77,16.2,0.3
Lagos,2022-06-14T17:00,27.4,80,13.5,0.0
Lagos,2022-06-14T18:00,26.8,83,11.3,0.0
Lagos,2022-06-14T19:00,26.2,87,7.4,0.0
Lagos,2022-06-14T20:00,26.1,88,9.6,0.0
Lagos,2022-06-14T21:00,25.6,87,13.9,0.0
Lagos,2022-06-14T22:00,25.2,88,9.6,0.0
Lagos,2022-06-14T23:00,24.8,92,4.6,0.0
Lagos,2022-06-15T00:00,24.2,96,0.8,8.2
Lagos,2022-06-15T01:00,24.7,91,10.4,0.4
Lagos,2022-06-15T02:00,25.0,91,9.5,0.1
Lagos,2022-06-15T03:00,25.0,91,6.4,0.0
Lagos,2022-06-15T04:00,24.7,93,4.9,0.0
Lagos,2022-06-15T05:00,24.0,93,6.9,3.1
Lagos,2022-06-15T06:00,23.6,95,5.6,9.4
Lagos,2022-06-15T07:00,24.1,94,6.7,1.2
Lagos,2022-06-15T08:00,24.8,89,9.7,0.1
Lagos,2022-06-15T09:00,25.5,84,12.1,0.8
Lagos,2022-06-15T10:00,26.4,82,10.0,0.1
Lagos,2022-06-15T11:00,26.4,84,12.9,0.1
Lagos,2022-06-15T12:00,27.4,81,12.6,0.2
Lagos,2022-06-15T13:00,25.2,86,14.8,4.1
Lagos,2022-06-15T14:00,27.0,80,16.3,0.7
Lagos,2022-06-15T15:00,26.4,85,15.0,0.6
Lagos,2022-06-15T16:00,26.6,81,14.9,0.9
Lagos,2022-06-15T17:00,26.1,84,14.0,0.2
Lagos,2022-06-15T18:00,25.9,84,13.6,0.1
Lagos,2022-06-15T19:00,24.9,88,8.5,1.0
Lagos,2022-06-15T20:00,24.8,88,6.6,0.4
Lagos,2022-06-15T21:00,24.4,91,4.7,0.2
Lagos,2022-06-15T22:00,24.0,94,6.8,0.0
Lagos,2022-06-15T23:00,23.8,94,5.1,0.0
Lagos,2022-06-16T00:00,23.7,94,4.9,0.0
Lagos,2022-06-16T01:00,24.2,92,6.7,0.0
Lagos,2022-06-16T02:00,24.1,93,6.8,0.1
Lagos,2022-06-16T03:00,23.8,94,5.9,0.1
Lagos,2022-06-16T04:00,23.1,94,4.7,4.7
Lagos,2022-06-16T05:00,23.0,95,5.2,3.8
Lagos,2022-06-16T06:00,22.8,95,5.9,0.3
Lagos,2022-06-16T07:00,22.8,95,8.2,0.1
Lagos,2022-06-16T08:00,22.7,95,8.3,4.3
Lagos,2022-06-16T09:00,23.2,92,7.6,7.0
Lagos,2022-06-16T10:00,23.3,93,7.4,2.1
Lagos,2022-06-16T11:00,24.3,89,5.7,2.5
Lagos,2022-06-16T12:00,24.1,91,5.1,1.8
Lagos,2022-06-16T13:00,25.4,86,6.5,1.0
Lagos,2022-06-16T14:00,25.1,86,14.3,4.7
Lagos,2022-06-16T15:00,24.3,90,17.7,5.1
Lagos,2022-06-16T16:00,24.6,88,17.1,3.4
Lagos,2022-06-16T17:00,24.7,91,14.4,2.3
Lagos,2022-06-16T18:00,25.0,90,13.4,1.1
Lagos,2022-06-16T19:00,24.7,90,11.8,0.3
Lagos,2022-06-16T20:00,24.5,92,8.4,0.1
Lagos,2022-06-16T21:00,24.1,94,5.9,0.0
Lagos,2022-06-16T22:00,23.8,95,4.9,0.0
Lagos,2022-06-16T23:00,23.6,96,5.6,0.0
Lagos,2022-06-17T00:00,23.5,96,8.0,0.1
Lagos,2022-06-17T01:00,23.6,94,6.4,0.0
Lagos,2022-06-17T02:00,23.7,95,6.6,0.0
Lagos,2022-06-17T03:00,23.4,96,5.7,0.0
Lagos,2022-06-17T04:00,23.2,97,6.3,0.0
Lagos,2022-06-17T05:00,23.2,96,5.2,0.0
Lagos,2022-06-17T06:00,23.3,97,4.7,0.0
Lagos,2022-06-17T07:00,23.6,96,5.6,0.0
Lagos,2022-06-17T08:00,24.3,92,3.6,0.1
Lagos,2022-06-17T09:00,24.8,90,3.5,0.4
Lagos,2022-06-17T10:00,24.8,91,5.9,0.9
Lagos,2022-06-17T11:00,24.2,93,10.3,1.7
Lagos,2022-06-17T12:00,24.4,89,10.9,1.2
Lagos,2022-06-17T13:00,26.7,79,1.3,0.3
Lagos,2022-06-17T14:00,27.0,79,5.4,0.0
Lagos,2022-06-17T15:00,26.3,81,9.0,0.3
Lagos,2022-06-17T16:00,25.9,83,12.8,0.2
Lagos,2022-06-17T17:00,25.6,82,12.3,0.3
Lagos,2022-06-17T18:00,25.5,84,11.4,0.0
Lagos,2022-06-17T19:00,24.9,87,10.0,0.0
Lagos,2022-06-17T20:00,24.9,87,8.8,0.0
Lagos,2022-06-17T21:00,24.8,87,6.6,0.0
Lagos,2022-06-17T22:00,25.1,86,7.2,0.0
Lagos,2022-06-17T23:00,24.7,87,5.4,0.0
Lagos,2022-06-18T00:00,24.2,89,4.1,0.1
Lagos,2022-06-18T01:00,24.3,90,6.7,0.1
Lagos,2022-06-18T02:00,24.1,91,8.6,0.0
Lagos,2022-06-18T03:00,23.8,93,7.6,0.0
Lagos,2022-06-18T04:00,23.5,94,9.0,0.0
Lagos,2022-06-18T05:00,23.4,94,7.6,0.0
Lagos,2022-06-18T06:00,23.4,94,7.9,0.0
Lagos,2022-06-18T07:00,23.5,93,6.8,0.0
Lagos,2022-06-18T08:00,24.1,92,6.9,0.5
Lagos,2022-06-18T09:00,25.3,87,3.8,0.4
Lagos,2022-06-18T10:00,26.0,85,7.2,0.4
Lagos,2022-06-18T11:00,25.9,87,10.4,0.3
Lagos,2022-06-18T12:00,26.5,81,6.3,0.5
Lagos,2022-06-18T13:00,23.6,89,6.1,1.8
Lagos,2022-06-18T14:00,25.3,83,8.7,0.5
Lagos,2022-06-18T15:00,25.2,84,9.8,0.2
Lagos,2022-06-18T16:00,25.7,82,10.0,0.1
Lagos,2022-06-18T17:00,25.5,83,12.2,0.0
Lagos,2022-06-18T18:00,25.3,84,11.2,0.0
Lagos,2022-06-18T19:00,24.9,87,9.3,0.0
Lagos,2022-06-18T20:00,24.8,88,6.2,0.0
Lagos,2022-06-18T21:00,24.4,90,9.1,0.0
Lagos,2022-06-18T22:00,23.9,92,6.0,0.0
Lagos,2022-06-18T23:00,23.5,93,5.2,0.0
Lagos,2022-06-19T00:00,23.2,94,4.8,0.0
Lagos,2022-06-19T01:00,23.1,94,4.1,0.0
Lagos,2022-06-19T02:00,23.1,95,4.4,0.0
Lagos,2022-06-19T03:00,22.9,96,5.8,0.0
Lagos,2022-06-19T04:00,22.7,97,6.6,0.0
Lagos,2022-06-19T05:00,22.7,96,7.4,0.0
Lagos,2022-06-19T06:00,22.6,96,7.2,0.0
Lagos,2022-06-19T07:00,22.5,96,6.6,0.0
Lagos,2022-06-19T08:00,23.3,94,6.4,0.0
Lagos,2022-06-19T09:00,24.5,88,3.2,0.0
Lagos,2022-06-19T10:00,25.0,86,3.1,0.0
Lagos,2022-06-19T11:00,26.3,82,3.1,0.1
Lagos,2022-06-19T12:00,27.7,75,4.7,0.1
Lagos,2022-06-19T13:00,28.0,71,7.6,0.1
Lagos,2022-06-19T14:00,27.8,72,10.2,0.3
Lagos,2022-06-19T15:00,27.4,75,10.9,0.1
Lagos,2022-06-19T16:00,27.6,74,10.3,0.0
Lagos,2022-06-19T17:00,27.5,74,9.3,0.0
Lagos,2022-06-19T18:00,27.1,76,8.4,0.0
Lagos,2022-06-19T19:00,26.1,83,8.1,0.0
Lagos,2022-06-19T20:00,25.6,86,8.1,0.0
Lagos,2022-06-19T21:00,25.4,86,7.3,0.0
Lagos,2022-06-19T22:00,25.3,87,8.0,0.0
Lagos,2022-06-19T23:00,25.1,87,7.1,0.0
Lagos,2022-06-20T00:00,25.0,88,6.4,0.0
Lagos,2022-06-20T01:00,25.6,87,8.7,0.0
Lagos,2022-06-20T02:00,25.6,87,8.0,0.0
Lagos,2022-06-20T03:00,25.5,88,6.7,0.0
Lagos,2022-06-20T04:00,25.0,90,6.2,0.0
Lagos,2022-06-20T05:00,23.7,94,1.8,2.7
Lagos,2022-06-20T06:00,23.7,96,4.3,1.6
Lagos,2022-06-20T07:00,23.9,94,3.6,0.0
